Aux out [V]	Aux in [V]	PDH out [a.u.]
1.0656E-1	5.2471E-1	-6.3000E+1
1.0679E-1	5.2520E-1	-3.2000E+2
1.0714E-1	5.2374E-1	-2.7400E+2
1.0750E-1	5.2447E-1	3.1700E+2
1.0785E-1	5.2204E-1	6.1800E+2
1.0820E-1	5.2301E-1	6.5300E+2
1.0844E-1	5.2131E-1	-2.1400E+2
1.0879E-1	5.2204E-1	5.5200E+2
1.0914E-1	5.1985E-1	4.8000E+1
1.0950E-1	5.1888E-1	-1.6000E+2
1.0973E-1	5.1937E-1	4.0400E+2
1.1009E-1	5.1839E-1	-2.9600E+2
1.1044E-1	5.1888E-1	7.3000E+1
1.1079E-1	5.1767E-1	5.0100E+2
1.1114E-1	5.1791E-1	4.6200E+2
1.1138E-1	5.1767E-1	4.4400E+2
1.1173E-1	5.1499E-1	2.6200E+2
1.1209E-1	5.1524E-1	-1.3100E+2
1.1244E-1	5.1475E-1	-2.9800E+2
1.1279E-1	5.1597E-1	2.6600E+2
1.1303E-1	5.1378E-1	-1.1700E+2
1.1338E-1	5.1354E-1	-1.9100E+2
1.1373E-1	5.1329E-1	7.7000E+1
1.1409E-1	5.1354E-1	8.1000E+1
1.1444E-1	5.1305E-1	-7.5000E+1
1.1467E-1	5.1256E-1	2.9100E+2
1.1503E-1	5.0965E-1	3.5000E+1
1.1538E-1	5.0965E-1	2.9100E+2
1.1561E-1	5.0989E-1	8.8500E+2
1.1597E-1	5.0941E-1	3.2000E+2
1.1632E-1	5.0868E-1	-3.3300E+2
1.1667E-1	5.0722E-1	2.6200E+2
1.1703E-1	5.0771E-1	-1.1700E+2
1.1726E-1	5.0528E-1	3.2700E+2
1.1761E-1	5.0406E-1	5.7700E+2
1.1797E-1	5.0503E-1	-5.9000E+1
1.1832E-1	5.0503E-1	3.0300E+2
1.1867E-1	5.0090E-1	5.8600E+2
1.1891E-1	5.0115E-1	2.4100E+2
1.1926E-1	5.0017E-1	3.2100E+2
1.1962E-1	5.0115E-1	1.2740E+3
1.1997E-1	5.0066E-1	-1.7300E+2
1.2020E-1	4.9872E-1	-2.3200E+2
1.2056E-1	4.9896E-1	-2.9700E+2
1.2091E-1	4.9605E-1	-2.5400E+2
1.2126E-1	4.9750E-1	1.5200E+2
1.2162E-1	4.9580E-1	9.0000E+0
1.2185E-1	4.9653E-1	2.8600E+2
1.2220E-1	4.9459E-1	-1.9600E+2
1.2256E-1	4.9532E-1	1.0600E+2
1.2291E-1	4.9556E-1	1.7900E+2
1.2326E-1	4.9386E-1	-2.4900E+2
1.2350E-1	4.9386E-1	-3.9000E+1
1.2385E-1	4.9289E-1	2.2300E+2
1.2420E-1	4.9119E-1	1.6800E+2
1.2456E-1	4.9167E-1	3.3000E+1
1.2491E-1	4.8973E-1	-2.4200E+2
1.2514E-1	4.8949E-1	2.0200E+2
1.2550E-1	4.9046E-1	-5.4500E+2
1.2585E-1	4.8949E-1	3.7900E+2
1.2609E-1	4.8900E-1	1.1000E+2
1.2644E-1	4.8730E-1	-2.5800E+2
1.2679E-1	4.8827E-1	3.1400E+2
1.2715E-1	4.8560E-1	-4.1800E+2
1.2750E-1	4.8608E-1	7.7000E+1
1.2773E-1	4.8584E-1	-1.1700E+2
1.2809E-1	4.8366E-1	8.2900E+2
1.2844E-1	4.8268E-1	1.6400E+2
1.2879E-1	4.8123E-1	-3.8300E+2
1.2915E-1	4.8317E-1	1.5100E+2
1.2938E-1	4.8244E-1	9.0000E+1
1.2973E-1	4.8341E-1	1.6100E+2
1.3009E-1	4.8268E-1	3.6100E+2
1.3044E-1	4.8244E-1	-3.1000E+1
1.3079E-1	4.8171E-1	-1.1480E+3
1.3103E-1	4.8414E-1	-4.2900E+2
1.3138E-1	4.8317E-1	4.9500E+2
1.3173E-1	4.8147E-1	4.0700E+2
1.3209E-1	4.8098E-1	2.4200E+2
1.3232E-1	4.8025E-1	8.0400E+2
1.3267E-1	4.7661E-1	9.4600E+2
1.3303E-1	4.7783E-1	6.9900E+2
1.3338E-1	4.7758E-1	7.5300E+2
