Aux out [V]	Aux in [V]	PDH out [a.u.]
-1.5429E-1	5.9079E-1	-2.6700E+2
-1.5241E-1	5.9249E-1	-3.4800E+2
-1.5052E-1	5.9540E-1	-3.2100E+2
-1.4864E-1	5.9711E-1	-9.9700E+2
-1.4652E-1	5.9978E-1	-9.8000E+1
-1.4464E-1	6.0051E-1	4.5000E+2
-1.4276E-1	6.0196E-1	-4.7000E+1
-1.4087E-1	6.0269E-1	8.6000E+1
-1.3899E-1	6.0488E-1	-4.8000E+1
-1.3711E-1	6.0512E-1	-1.9700E+2
-1.3499E-1	6.0634E-1	-2.1000E+2
-1.3311E-1	6.0682E-1	-3.6100E+2
-1.3123E-1	6.0804E-1	2.9000E+1
-1.2934E-1	6.0804E-1	-3.9300E+2
-1.2746E-1	6.1022E-1	-1.5500E+2
-1.2534E-1	6.1120E-1	-4.1000E+1
-1.2346E-1	6.1192E-1	-4.9200E+2
-1.2158E-1	6.1071E-1	-3.4300E+2
-1.1970E-1	6.1071E-1	-5.4200E+2
-1.1781E-1	6.1144E-1	-2.6000E+1
-1.1593E-1	6.1095E-1	1.0500E+2
-1.1381E-1	6.1217E-1	-3.9000E+1
-1.1193E-1	6.1338E-1	7.5000E+1
-1.1005E-1	6.1290E-1	-2.4600E+2
-1.0817E-1	6.1484E-1	-1.3500E+2
-1.0628E-1	6.1314E-1	-1.7100E+2
-1.0417E-1	6.1362E-1	-3.7000E+2
-1.0228E-1	6.1265E-1	-4.3000E+2
-1.0040E-1	6.1314E-1	-1.4600E+2
-9.8519E-2	6.1435E-1	-2.7100E+2
-9.6636E-2	6.1265E-1	-7.9300E+2
-9.4754E-2	6.1508E-1	4.8000E+1
-9.2636E-2	6.1411E-1	-2.4600E+2
-9.0754E-2	6.1557E-1	-2.0000E+2
-8.8871E-2	6.1362E-1	-6.3300E+2
-8.6989E-2	6.1411E-1	2.4600E+2
-8.5106E-2	6.1435E-1	-8.1000E+1
-8.2988E-2	6.1387E-1	-5.1400E+2
-8.1106E-2	6.1460E-1	-5.1300E+2
-7.9223E-2	6.1484E-1	1.5600E+2
-7.7341E-2	6.1484E-1	-3.2500E+2
-7.5458E-2	6.1411E-1	-1.4700E+2
-7.3576E-2	6.1338E-1	-4.9300E+2
-7.1458E-2	6.1435E-1	-3.6100E+2
-6.9575E-2	6.1484E-1	-2.5200E+2
-6.7693E-2	6.1338E-1	-4.5400E+2
-6.5811E-2	6.1508E-1	-4.1500E+2
-6.3928E-2	6.1314E-1	-2.0300E+2
-6.1810E-2	6.1460E-1	-2.4500E+2
-5.9928E-2	6.1460E-1	-4.6100E+2
-5.8045E-2	6.1411E-1	-1.0210E+3
-5.6163E-2	6.1533E-1	1.9500E+2
-5.4280E-2	6.1387E-1	-3.8600E+2
-5.2398E-2	6.1435E-1	-2.1300E+2
-5.0280E-2	6.1411E-1	1.9000E+2
-4.8397E-2	6.1435E-1	-3.8300E+2
-4.6515E-2	6.1460E-1	-2.7600E+2
-4.4632E-2	6.1435E-1	-3.2400E+2
-4.2750E-2	6.1387E-1	-2.6200E+2
-4.0632E-2	6.1290E-1	-3.0100E+2
-3.8750E-2	6.1460E-1	-9.0000E+0
-3.6867E-2	6.1484E-1	-1.3000E+2
-3.4985E-2	6.1338E-1	-2.1000E+2
-3.3102E-2	6.1533E-1	-8.8400E+2
-3.1220E-2	6.1411E-1	-7.3300E+2
-2.9102E-2	6.1362E-1	-4.2700E+2
-2.7219E-2	6.1533E-1	-3.7400E+2
-2.5337E-2	6.1435E-1	-7.3400E+2
-2.3454E-2	6.1411E-1	-2.5700E+2
-2.1572E-2	6.1290E-1	-2.9500E+2
-1.9454E-2	6.1460E-1	-1.0000E+0
-1.7572E-2	6.1362E-1	-5.7500E+2
-1.5689E-2	6.1411E-1	-4.9000E+1
-1.3807E-2	6.1314E-1	-4.9200E+2
-1.1924E-2	6.1387E-1	-4.1700E+2
-9.8063E-3	6.1435E-1	2.5000E+2
-7.9238E-3	6.1338E-1	-1.4200E+2
-6.0413E-3	6.1581E-1	-5.0600E+2
