Aux out [V]	Aux in [V]	PDH out [a.u.]
6.7166E-1	5.2228E-1	-3.2400E+2
6.7166E-1	5.2252E-1	-1.0660E+3
6.7177E-1	5.2277E-1	-5.5300E+2
6.7189E-1	5.2325E-1	-8.8000E+1
6.7189E-1	5.2350E-1	4.0400E+2
6.7201E-1	5.2447E-1	-3.9400E+2
6.7201E-1	5.2350E-1	3.4800E+2
6.7213E-1	5.2204E-1	-2.2300E+2
6.7224E-1	5.2301E-1	-1.8500E+2
6.7224E-1	5.2252E-1	2.2100E+2
6.7236E-1	5.2252E-1	1.5700E+2
6.7236E-1	5.2447E-1	-8.1000E+1
6.7248E-1	5.2204E-1	2.0300E+2
6.7248E-1	5.1985E-1	-3.2200E+2
6.7260E-1	5.2204E-1	6.7700E+2
6.7272E-1	5.2228E-1	3.3800E+2
6.7272E-1	5.1888E-1	5.1600E+2
6.7283E-1	5.2082E-1	-2.3100E+2
6.7283E-1	5.2082E-1	4.1600E+2
6.7295E-1	5.1985E-1	2.5200E+2
6.7295E-1	5.1888E-1	-1.0600E+2
6.7307E-1	5.1937E-1	-5.5200E+2
6.7319E-1	5.1961E-1	8.6600E+2
6.7319E-1	5.2010E-1	-7.7400E+2
6.7330E-1	5.1937E-1	3.2900E+2
6.7330E-1	5.2034E-1	1.2200E+2
6.7342E-1	5.1912E-1	-4.4000E+1
6.7342E-1	5.1912E-1	2.1400E+2
6.7354E-1	5.1888E-1	-2.3200E+2
6.7366E-1	5.1839E-1	4.7600E+2
6.7366E-1	5.1839E-1	-5.6100E+2
6.7377E-1	5.1742E-1	-1.5900E+2
6.7377E-1	5.1961E-1	-1.2900E+2
6.7389E-1	5.1912E-1	2.1000E+1
6.7389E-1	5.1791E-1	-4.6000E+1
6.7401E-1	5.1912E-1	-2.7200E+2
6.7413E-1	5.1888E-1	-4.1500E+2
6.7413E-1	5.1718E-1	-6.8000E+1
6.7424E-1	5.1742E-1	-1.8500E+2
6.7424E-1	5.1864E-1	-3.1900E+2
6.7436E-1	5.1645E-1	-4.6400E+2
6.7436E-1	5.1864E-1	-5.3400E+2
6.7448E-1	5.1767E-1	-3.6800E+2
6.7460E-1	5.1669E-1	-5.7000E+2
6.7460E-1	5.1694E-1	2.2400E+2
6.7472E-1	5.1694E-1	-4.6000E+1
6.7472E-1	5.1767E-1	-4.7000E+2
6.7483E-1	5.1767E-1	-2.6500E+2
6.7483E-1	5.1961E-1	-2.9700E+2
6.7495E-1	5.1864E-1	-1.0720E+3
6.7507E-1	5.1694E-1	-9.8000E+1
6.7507E-1	5.1742E-1	-6.1300E+2
6.7519E-1	5.1864E-1	-8.1000E+1
6.7519E-1	5.1815E-1	-6.2000E+1
6.7530E-1	5.1694E-1	-8.4000E+2
6.7530E-1	5.1815E-1	-6.6800E+2
6.7542E-1	5.1815E-1	-1.1350E+3
6.7554E-1	5.1718E-1	4.4900E+2
6.7554E-1	5.1791E-1	2.1000E+1
6.7566E-1	5.1718E-1	-7.5800E+2
6.7566E-1	5.1742E-1	-2.6500E+2
6.7577E-1	5.1888E-1	1.7000E+2
6.7577E-1	5.1961E-1	-5.4700E+2
6.7589E-1	5.1864E-1	-4.3600E+2
6.7601E-1	5.1864E-1	-7.2200E+2
6.7601E-1	5.1912E-1	-7.4400E+2
6.7613E-1	5.1864E-1	-2.4400E+2
6.7613E-1	5.1864E-1	-8.7800E+2
6.7625E-1	5.1767E-1	-4.7500E+2
6.7625E-1	5.1742E-1	-2.3300E+2
6.7636E-1	5.1864E-1	-8.7600E+2
6.7648E-1	5.1839E-1	-1.0630E+3
6.7648E-1	5.2034E-1	-4.6900E+2
6.7660E-1	5.1961E-1	-1.1400E+2
6.7660E-1	5.1985E-1	-2.8500E+2
6.7672E-1	5.2131E-1	-3.6500E+2
6.7672E-1	5.1912E-1	-3.5200E+2
6.7683E-1	5.2034E-1	-5.5200E+2
6.7695E-1	5.2058E-1	-1.5400E+2
6.7695E-1	5.2107E-1	-2.9800E+2
6.7707E-1	5.2107E-1	-6.2500E+2
6.7707E-1	5.1961E-1	-4.1700E+2
6.7719E-1	5.2155E-1	-3.7800E+2
6.7719E-1	5.2228E-1	-1.1520E+3
6.7730E-1	5.2277E-1	-9.4600E+2
6.7742E-1	5.2131E-1	-4.1400E+2
6.7742E-1	5.2058E-1	-1.7300E+2
6.7754E-1	5.2398E-1	-5.7000E+2
6.7754E-1	5.2350E-1	-4.2300E+2
6.7766E-1	5.2423E-1	-9.1500E+2
6.7766E-1	5.2155E-1	-1.0260E+3
6.7777E-1	5.2423E-1	-8.5400E+2
6.7789E-1	5.2325E-1	-9.6600E+2
6.7789E-1	5.2423E-1	-1.0650E+3
6.7801E-1	5.2520E-1	-1.1510E+3
6.7801E-1	5.2593E-1	-1.2670E+3
