Aux out [V]	Aux in [V]	PDH out [a.u.]
-2.8900E-1	2.1643E-1	6.9000E+1
-2.8877E-1	2.1449E-1	3.5600E+2
-2.8842E-1	2.1570E-1	1.2800E+2
-2.8818E-1	2.1157E-1	6.1500E+2
-2.8783E-1	2.1230E-1	3.3000E+1
-2.8759E-1	2.1254E-1	-2.1700E+2
-2.8736E-1	2.1108E-1	8.5700E+2
-2.8700E-1	2.1036E-1	2.1800E+2
-2.8665E-1	2.0866E-1	4.4900E+2
-2.8642E-1	2.0963E-1	-1.0400E+2
-2.8618E-1	2.0938E-1	2.0000E+0
-2.8583E-1	2.0744E-1	6.5800E+2
-2.8559E-1	2.0866E-1	3.0800E+2
-2.8524E-1	2.0841E-1	-4.6900E+2
-2.8500E-1	2.1036E-1	-2.8500E+2
-2.8465E-1	2.0817E-1	2.9700E+2
-2.8442E-1	2.0987E-1	-8.0000E+1
-2.8418E-1	2.1036E-1	-1.9400E+2
-2.8383E-1	2.1181E-1	3.0000E+2
-2.8359E-1	2.1206E-1	9.8200E+2
-2.8324E-1	2.1011E-1	9.7400E+2
-2.8300E-1	2.0841E-1	8.1200E+2
-2.8265E-1	2.0574E-1	6.9900E+2
-2.8241E-1	2.0501E-1	5.9700E+2
-2.8206E-1	2.0283E-1	7.2500E+2
-2.8183E-1	2.0137E-1	1.0880E+3
-2.8159E-1	2.0088E-1	7.1400E+2
-2.8124E-1	2.0040E-1	7.1600E+2
-2.8100E-1	1.9845E-1	3.0000E+2
-2.8065E-1	1.9845E-1	2.6800E+2
-2.8041E-1	1.9772E-1	3.1400E+2
-2.8006E-1	1.9627E-1	-3.6700E+2
-2.7983E-1	1.9602E-1	1.9700E+2
-2.7959E-1	1.9481E-1	1.9100E+2
-2.7924E-1	1.9578E-1	-6.3900E+2
-2.7900E-1	1.9602E-1	-9.7000E+1
-2.7865E-1	1.9554E-1	-3.2500E+2
-2.7841E-1	1.9505E-1	2.9900E+2
-2.7806E-1	1.9651E-1	-2.9900E+2
-2.7783E-1	1.9578E-1	-9.7000E+1
-2.7747E-1	1.9748E-1	-5.2600E+2
-2.7724E-1	1.9748E-1	-4.9300E+2
-2.7700E-1	1.9627E-1	-1.2600E+2
-2.7665E-1	1.9772E-1	8.5300E+2
-2.7641E-1	1.9870E-1	2.3500E+2
-2.7606E-1	1.9602E-1	7.0700E+2
-2.7583E-1	1.9651E-1	9.2600E+2
-2.7547E-1	1.9286E-1	6.1100E+2
-2.7524E-1	1.9335E-1	1.0380E+3
-2.7500E-1	1.9116E-1	4.5800E+2
-2.7465E-1	1.8995E-1	-5.1000E+1
-2.7430E-1	1.8946E-1	-2.8100E+2
-2.7406E-1	1.9044E-1	8.4000E+1
-2.7383E-1	1.8849E-1	5.3000E+1
-2.7347E-1	1.8971E-1	-6.4000E+1
-2.7324E-1	1.9044E-1	-3.9700E+2
-2.7300E-1	1.9092E-1	1.1000E+1
-2.7265E-1	1.9189E-1	-5.4300E+2
-2.7230E-1	1.9602E-1	-5.7100E+2
-2.7206E-1	1.9675E-1	-8.9900E+2
-2.7183E-1	2.0015E-1	-8.8900E+2
-2.7147E-1	2.0550E-1	-1.4090E+3
-2.7124E-1	2.1181E-1	-1.4070E+3
-2.7088E-1	2.1667E-1	-5.6900E+2
-2.7065E-1	2.1692E-1	5.1000E+2
-2.7030E-1	2.1376E-1	1.5410E+3
-2.7006E-1	2.0744E-1	1.7990E+3
-2.6983E-1	2.0574E-1	1.4250E+3
-2.6947E-1	1.9870E-1	1.0610E+3
-2.6924E-1	1.9359E-1	1.4990E+3
-2.6888E-1	1.9141E-1	1.6400E+2
-2.6865E-1	1.8898E-1	6.2300E+2
-2.6830E-1	1.8655E-1	-2.6600E+2
-2.6806E-1	1.8485E-1	2.6000E+2
-2.6771E-1	1.8679E-1	-6.0000E+1
-2.6747E-1	1.8631E-1	-3.3100E+2
-2.6724E-1	1.8606E-1	-4.5000E+2
-2.6688E-1	1.8509E-1	-2.3400E+2
-2.6665E-1	1.8606E-1	-7.6300E+2
-2.6630E-1	1.8849E-1	2.5000E+1
-2.6606E-1	1.8873E-1	-4.5700E+2
-2.6571E-1	1.9092E-1	-7.4400E+2
-2.6547E-1	1.9529E-1	-1.4990E+3
-2.6524E-1	1.9967E-1	-1.2740E+3
-2.6488E-1	2.1108E-1	-2.1490E+3
-2.6465E-1	2.1667E-1	-2.4310E+3
-2.6430E-1	2.2639E-1	-3.0820E+3
-2.6406E-1	2.3295E-1	-1.8860E+3
-2.6371E-1	2.3586E-1	2.6100E+2
-2.6347E-1	2.3271E-1	1.2490E+3
-2.6312E-1	2.2323E-1	2.3260E+3
-2.6288E-1	2.1376E-1	2.6860E+3
-2.6265E-1	2.0793E-1	2.5960E+3
-2.6230E-1	1.9772E-1	1.5860E+3
-2.6206E-1	1.9359E-1	1.2840E+3
-2.6171E-1	1.9019E-1	1.5830E+3
-2.6147E-1	1.8461E-1	1.5600E+2
-2.6112E-1	1.8096E-1	8.8900E+2
-2.6088E-1	1.7926E-1	2.6800E+2
